"","X_worker_id","X_trust","score","X_channel","X_country","X_region","X_city","X_ip","treatment","received_compliance_q","assigned","complied","treated","pct_score"
"258",45192770,1,0.857142857142857,"clixsense","VEN","25","Caracas","186.167.243.219","control",1,0,1,0,85.7142857142857
"259",45193948,1,1,"feca","VEN","25","Caracas","200.84.38.237","evaluation",0,1,0,0,100
"260",45195351,1,1,"clixsense","VEN","","","190.199.95.155","publicgood",0,1,0,0,100
"261",45195553,1,1,"neodev","VEN","07","Valencia","190.205.205.181","evaluation",0,1,0,0,100
"262",45196473,1,1,"clixsense","USA","NY","New York","104.131.92.125","control",0,0,0,0,100
"263",45196638,1,1,"clixsense","VEN","25","Caracas","186.93.74.217","control",1,0,1,0,100
"264",45198656,1,0.6,"feca","EGY","11","Cairo","41.68.27.213","publicgood",1,1,0,0,60
"265",45199494,1,1,"feca","EGY","","","197.38.105.110","publicgood",0,1,0,0,100
"266",45200642,1,1,"feca","EGY","11","Cairo","41.68.227.246","publicgood",1,1,1,1,100
"267",45200642,1,0.92,"feca","EGY","","","41.68.237.45","evaluation",1,1,1,1,92
"268",45202848,1,0.866666666666667,"feca","VEN","15","Agua Fria","190.79.124.50","evaluation",1,1,0,0,86.6666666666667
"269",45203342,1,1,"feca","VNM","43","Biên Hòa","171.226.17.46","evaluation",0,1,0,0,100
"270",45203540,1,0.85,"neodev","ESP","55","El Barco De Ávila","83.43.233.3","evaluation",1,1,1,1,85
